functionId,intent,focus,functionName,level,ParentFunctionName,lastUpdatedAt
1,Business,Catalog,Catalog,0,None,1/2/2020
2,Business,Catalog,Store,0,None,1/2/2020
3,Business,Catalog,Sell,1,Store,1/2/2020
4,Business,Catalog,Buy,1,Store,1/2/2020
5,Business,Catalog,Inventory,1,Store,1/2/2020
6,Business,Catalog,Finance,1,Store,1/2/2020
7,Business,Catalog,Pay,2,Finance,1/2/2020
8,Business,Catalog,Receive,2,Finance,1/2/2020
9,Business,Catalog,Exp,2,Finance,1/2/2020
10,Business,Catalog,Intake,2,Finance,1/2/2020
11,Business,Catalog,Budget,2,Finance,1/2/2020
12,Business,Catalog,Reports,0,None,1/2/2020
13,Business,Catalog,History,1,Reports,1/2/2020
14,Business,Catalog,Future,1,Reports,1/2/2020
15,Business,Catalog,Humanoid,1,Reports,1/2/2020
16,Business,Catalog,Connect,0,None,1/2/2020
17,Business,Catalog,Group,1,Connect,1/2/2020
18,Business,Catalog,Interact,1,Connect,1/2/2020
19,Business,Catalog,Admins,1,Connect,1/2/2020
20,Business,Catalog,GroupSetup,2,Group,1/2/2020
21,Business,Catalog,GroupEdit,2,Group,1/2/2020
22,Business,Catalog,Invite,2,Interact,1/2/2020
23,Business,Catalog,Members,2,Interact,1/2/2020
24,Business,Catalog,Converse,2,Interact,1/2/2020
25,Business,Catalog,StoreFront,0,None,1/2/2020
