intent,focus,role,functions
business,catalog,creator,"['catalog', 'cansell', 'store', 'action', 'reports', 'connect', 'broadcast', 'administration', 'superadminreports', 'paypendingadmin', 'admininvest', 'canwriteoff',  'inventorymgmt', 'owner', 'editor', 'eventcreator' ]"
business,catalog,superadmin,"['catalog', 'cansell',  'store', 'action', 'reports', 'connect', 'broadcast', 'administration',  'superadminreports', 'paypendingadmin', 'admininvest', 'inventorymgmt', 'canwriteoff', 'editor' ,'eventcreator' ]"
business,catalog,generalAdmin,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', 'eventcreator' ]"
business,catalog,financeAdmin,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', 'eventcreator' ]"
business,catalog,shippingAdmin,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,salesAdmin,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,salesAndShippingAdmin,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,catalogManager,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,inventoryManager,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,catalogAndInventoryManager,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,marketingManager,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,newsEditor,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,interactionManager,"['catalog', 'cansell', 'store', 'action', 'adminreports', 'paypendingadmin', 'connect', ]"
business,catalog,user,"['userreports', 'action', 'connect', 'cataloguser', 'paypendinguser', 'userinvest' ]"
business,catalog,userspecial,"['userreports', 'connect', 'cataloguser', 'tbd']"
