functionType,debitAccountName,creditAccountName,referenceIdName,
invoice,receivable,sale,invoice-id,
payReceived,cash,receivable,payment-id,
inventory,inventory,payable,not sure,
po,purchase,payable,po-id,
po-asset,capitalAsset,payable,po-id,
payPayable,payable,cash,payment-id,
expense,expense,cash,expense-id,
creditSale,receivable,sale,payment-id,
expenseStripeFee,expense,cash,expense-id,
poReturn,receivable,purchasereturn,payment-id,
writeoff,expense-wo,cash,expense-id,
depreciate,expense-depreciate,capitalAsset,item-id,
appreciate,capitalAsset,cash-appreciate,item-id,
po-inventory,inventoryAsset,payable,po-id,
writeoff,expense,inventoryAsset,item-id,
directSale,cash,sales,payment-id,
